NAICS Code,Industry,Emission Factor (Without Margins)_USD,Emission Factor (Without Margins)_CO2e,Material Type,Weight (kg),Emission Factor per kg (CO2e),Predicted Production Emissions,Logistics Emissions,Total Emissions
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,0.00114,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,0.00187,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,1.29e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493110,General Warehousing and Storage,0.000776,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,4.71e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488490,Other Support Activities for Road Transportation,2.38e-07,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,4.71e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,5.17e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,1.22e-08,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
493120,Refrigerated Warehousing and Storage,4.71e-10,0.244,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.92e-09,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
488510,Freight Transportation Arrangement,1.16e-08,0.162,Metal,1.0,7.0,7.0,0.0838563504755357,7.083856350475536
